"v1_source_file","v1_json_path","v1_example","v2_table","v2_column","required_level","visibility","transform_rule","missing_rule","validation_rule","notes"
"build/v1/serving/faculties/{id}.json","selected_publications[].venue","Hospital Pediatrics","publication_detail","venue","optional","PUBLIC","trim text","null if missing","none","Journal or proceedings venue"
"build/v1/serving/faculties/{id}.json","selected_publications[].doi","10.1109/HPCS48598.2019.9188218","publication_detail","doi","optional","PUBLIC","trim; use lowercase for duplicate key","null if missing","must be unique by lower(doi) when present","Primary dedupe key"
"build/v1/serving/faculties/{id}.json","selected_publications[].volume","63","source_record","raw_record.volume","optional","PUBLIC","preserve raw","null if missing","none","Schema gap: publication_detail has no volume column"
"build/v1/serving/faculties/{id}.json","selected_publications[].pages","55-62","source_record","raw_record.pages","optional","PUBLIC","preserve raw","null if missing","none","Schema gap: publication_detail has no pages column"
"build/v1/serving/faculties/{id}.json","selected_publications[]","publication item","work_item","category_code","required","PUBLIC","set constant RESEARCH","fail publication if work_type seed missing","must reference work_category","Selected publications are research outputs"
"build/v1/serving/faculties/{id}.json","selected_publications[]","publication item","work_item","work_type_code","required","PUBLIC","set constant PUBLICATION","fail publication if work_type seed missing","must reference work_type","Uses seed 001_master_data.sql"
"build/v1/serving/faculties/{id}.json","selected_publications[]","publication item","work_item","visibility","required","PUBLIC","set constant PUBLIC","use PUBLIC","must be allowed visibility","V1 selected publications are public"
"build/v1/serving/faculties/{id}.json","selected_publications[]","publication item","faculty_work_item","faculty_id","required","PUBLIC","resolve parent faculty by public_slug","fail if parent faculty missing","must reference faculty.id","Links publication to profile owner"
"build/v1/serving/faculties/{id}.json","selected_publications[]","publication item","faculty_work_item","work_item_id","required","PUBLIC","link to deduped publication work_item","fail if work item missing","must reference work_item.id","Multiple faculty can link to one publication"
"build/v1/serving/faculties/{id}.json","selected_publications[]","publication item","faculty_work_item","role","optional","PUBLIC","set AUTHOR","null only if team decides not to infer role","free text","Author order/contribution not normalized from V1"
"build/v1/serving/faculties/{id}.json","publication_profiles[].provider","google_scholar","source_record","raw_record.provider","required for child record","PUBLIC","preserve provider text","skip child if provider missing","provider non-empty","Schema gap: no normalized faculty external profile table"
"build/v1/serving/faculties/{id}.json","publication_profiles[].url","https://scholar.google.co.th/citations?hl=th&user=Xa3otrYAAAAJ&view_op=list_works&sortby=pubdate","source_record","raw_record.url","optional","PUBLIC","trim URL","null with warning if missing","must be URL if present","Do not force into evidence_reference because work_item_id is required"
"build/v1/serving/faculties/{id}.json","cv","cv object or null","source_record","raw_record.cv","optional","PUBLIC","preserve raw CV value","null if missing","validate URL if normalized later","Schema gap: no faculty-level document/reference table"
"build/v1/serving/faculties/{id}.json","badges[]","badge text/object","source_record","raw_record.badges","optional","PUBLIC","preserve raw badges","empty array if missing","none","Deferred normalized badge support"
"data/v1/source/faculty_profiles.json","source_url","https://cs.sci.tu.ac.th/2022/...","source_record","raw_record.source_url","optional","PUBLIC","preserve raw source URL","null if missing","must be URL if present","Useful provenance for faculty source page"
"data/v1/source/faculty_profiles.json","directory_source_url","https://cs.sci.tu.ac.th/faculty-member-th/","source_record","raw_record.directory_source_url","optional","PUBLIC","preserve raw directory URL","null if missing","must be URL if present","Useful provenance for department directory"
"data/v1/source/faculty_profiles.json","captured_at","2026-08-29T18:43:00+07:00","source_record","raw_record.captured_at","optional","PUBLIC","preserve ISO timestamp","null if missing","timestamp parse warning if invalid","Source capture timestamp"
"data/v1/source/source-metadata.json","source","Department Public Faculty Website","import_batch","source_system","required","PUBLIC","set/normalize to V1_PUBLIC_FACULTY","fail import if missing configured value","non-empty text","Use stable system code rather than display label"
"data/v1/source/source-metadata.json","source","Department Public Faculty Website","source_record","source_system","required","PUBLIC","set same stable code V1_PUBLIC_FACULTY","fail source record if missing","non-empty text","Must match import_batch.source_system"
"data/v1/source/source-metadata.json","source_version","v1-full-faculty-snapshot-2026-08-29","import_batch","source_version","optional","PUBLIC","preserve text","null if missing","none","Snapshot version for traceability"
"data/v1/source/source-metadata.json","record_count","22","import_batch","record_count","required","PUBLIC","parse integer","derive from detail files if missing","must equal expected faculty count","Current V1 serving count is 22"
"data/v1/source/source-metadata.json","import status","SUCCEEDED","import_batch","status","required","PUBLIC","set from import result","PENDING before run; SUCCEEDED/FAILED/WARNING after run","must be allowed import status","Do not mark succeeded until row-level validation is complete"
"data/v1/source/source-metadata.json","valid/warning/error counts","22/0/0","import_batch","valid_count,warning_count,error_count","required","PUBLIC","compute during import validation","default zero before run","counts must be non-negative","Used as migration evidence"
"data/v1/source/source-metadata.json","capture_method","Controlled manual snapshot from supplied public faculty directory and profile-page content","import_batch","source_name","optional","PUBLIC","preserve source name/context","use source file path if missing","none","Human-readable source context"
"build/v1/serving/faculties/{id}.json","logical key","faculty/kasidit-chanchio","source_record","source_record_key","required","PUBLIC","generate deterministic logical key by source section","fail source record if key missing","unique per source_system/source_hash","Examples: faculty/{slug}; faculty/{slug}/education/{index}; faculty/{slug}/selected_publications/{dedupe_key}"
"build/v1/serving/faculties/{id}.json","source section","education","source_record","source_section_code","optional","PUBLIC","set section code for child records","null only for whole faculty record if desired","must be stable string when present","Useful for filtering import errors by V1 section"
"build/v1/serving/faculties/{id}.json","raw object hash","sha256(...)","source_record","source_hash","required","PUBLIC","compute SHA-256 of canonical raw JSON or source file","fail record if hash cannot be computed","must be stable across identical input","Supports idempotency"
"build/v1/serving/faculties/{id}.json","target entity type","faculty","source_record","target_entity_type","optional","PUBLIC","set after successful mapping","null before target is created","expected values include faculty, faculty_education, faculty_interest, work_item","Helps audit imported rows"
"build/v1/serving/faculties/{id}.json","target entity id","fac_kasidit-chanchio","source_record","target_entity_id","optional","PUBLIC","set deterministic target id after successful mapping","null before target is created","must match actual target id when present","Useful for debugging migration"
"build/v1/serving/faculties/{id}.json","record import status","IMPORTED","source_record","status","required","PUBLIC","set per-record result","PENDING before run; ERROR/WARNING/SKIPPED/IMPORTED after validation","must be allowed source_record status","Used for row-level migration evidence"
"build/v1/serving/faculties/{id}.json","entire faculty detail JSON","{...}","source_record","raw_record","required","PUBLIC","store raw JSON for traceability","fail if raw record unavailable","valid JSON object","Preserves fields not normalized in V2 baseline"
